2024-10-04 14:02:29 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-10-04 14:02:29 [restartedMain] INFO  com.demo.folder.App - Starting App using Java 17.0.11 with PID 30730 (/Users/ilialataria/Desktop/task3_spring/gymcCRM/build/classes/java/main started by ilialataria in /Users/ilialataria/Desktop/task3_spring/gymcCRM)
2024-10-04 14:02:29 [restartedMain] INFO  com.demo.folder.App - The following 1 profile is active: "local"
2024-10-04 14:02:29 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-10-04 14:02:29 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-10-04 14:02:30 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-10-04 14:02:30 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-10-04 14:02:30 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-10-04 14:02:30 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
2024-10-04 14:02:30 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-10-04 14:02:30 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 895 ms
2024-10-04 14:02:30 [restartedMain] INFO  c.d.f.config.profiles.LocalConfig - Local Configuration is active
2024-10-04 14:02:30 [restartedMain] INFO  c.d.f.config.profiles.LocalConfig - Setting up DataSource for STAGING environment
2024-10-04 14:02:30 [restartedMain] INFO  c.d.f.config.profiles.LocalConfig - DB URL: jdbc:h2:mem:localdb;DB_CLOSE_DELAY=-1
2024-10-04 14:02:30 [restartedMain] INFO  c.d.f.config.profiles.LocalConfig - DB Username: sa
2024-10-04 14:02:30 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:localdb'
2024-10-04 14:02:31 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.0.Final
2024-10-04 14:02:31 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-10-04 14:02:31 [restartedMain] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2024-10-04 14:02:31 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-10-04 14:02:31 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-10-04 14:02:31 [restartedMain] INFO  c.demo.folder.service.TraineeService - TraineeService initialized.
2024-10-04 14:02:31 [restartedMain] INFO  c.d.f.health.EnvProfileServiceCheck - Currently active profile - [local]
